,Keratinocyte genes,p-value Keratinocyte,Fibroblast genes,p-value Fibroblast,Endothelial genes,p-value Endothelial,Lymphatic genes,p-value Lymphatic,Perivascular cell genes,p-value Perivascular cell,Schwann cell genes,p-value Schwann cell,Lymphoid genes,p-value Lymphoid,Neutrophil genes,p-value Neutrophil,Monocyte genes,p-value Monocyte,Macrophage genes,p-value Macrophage,Langerhans cell genes,p-value Langerhans cell
0,Lgals7,0.0,Bgn,0.0,Pecam1,1.6975610097199683e-140,Gdf15,2.9901926111449344e-32,Igfbp7,7.29288357903529e-110,Plp1,1.2760190527333674e-64,Ctla2a,4.1773741443869993e-78,Cstdc4,6.198341765640014e-143,Clec4d,1.2124293711068143e-97,Lyz2,2.5464106301574784e-13,Cd74,2.139706031796e-310
1,Krtdap,0.0,Sparc,0.0,Cdh5,3.1253802822618395e-132,Olfm1,2.816451483710103e-25,Rgs5,4.5671148656462534e-86,Egfl8,1.9630389816649576e-59,Rgs1,1.780439213098086e-71,S100a8,1.757570199657537e-125,Cd14,2.0144254182423873e-91,C1qa,1.9591477099468957e-10,H2-Aa,5.730469687033084e-191
2,Lypd3,0.0,Col6a1,0.0,Egfl7,6.692705671833704e-96,Fgl2,6.424577334236526e-25,Procr,7.349789923864722e-55,Kcna1,4.535679094212882e-53,Cd3d,8.033492535355202e-65,Csta2,1.4993304860682527e-118,Ctss,1.8549421603003405e-76,C1qb,6.347301345442023e-10,H2-Eb1,4.55650948179041e-166
3,Tacstd2,0.0,Dcn,0.0,Arhgap29,4.943215973392673e-89,Eif2b2,1.500930614701288e-19,Acta2,2.305064336674796e-44,Pmp22,8.246678810170043e-49,Cd3g,9.903022261492672e-64,S100a9,3.9801355391534128e-115,Pla2g7,5.150652033306651e-66,Pf4,9.45909865484026e-10,H2-Ab1,1.4599972430773021e-136
4,Aqp3,0.0,Col1a1,0.0,Adgrf5,2.097042386733337e-85,Prox1,1.1262164374158569e-18,Ndufa4l2,9.69906430777643e-44,Mpz,1.104413037662221e-47,Trbc2,1.835482799750553e-60,Cstdc5,8.867778555958205e-105,Clec4e,3.555344741754457e-65,C1qc,2.1253817993967716e-09,Ctss,6.7747675374363e-105
5,Apoc1,0.0,Col1a2,0.0,Eng,3.483345618892055e-83,Mmrn1,4.1042257266465276e-17,Ptp4a3,1.4513717551172827e-39,Cadm4,1.4114153609542144e-46,Ptprcap,1.94253005903206e-60,Stfa2l1,8.059562106254614e-104,Thbs1,5.749483652737154e-50,Trem2,7.083982535750899e-07,Tbc1d4,2.925941306716019e-83
6,Rab25,0.0,Mmp2,0.0,Rasip1,4.667290832476467e-83,Pard6g,6.888591107085005e-17,Tagln,6.835609893159239e-38,Foxd3,2.2774179464962393e-46,Neurl3,2.306879924481355e-56,Wfdc21,6.65384920222599e-72,Lgmn,2.0535572204337653e-49,Cd36,1.6016245107692669e-06,Csf2rb2,3.349208378236075e-67
7,Pkp1,0.0,Serpinf1,0.0,Emcn,2.5518249173857816e-80,Dtx1,5.217880707479327e-15,Aoc3,6.9673171113847336e-34,Sema3b,3.98922324953393e-46,Tnfrsf9,2.887199268274388e-45,G0s2,7.451455077675378e-66,Csf1r,5.253081304930443e-49,Ms4a7,3.070177310487748e-06,Bcl2a1d,2.4863774482748347e-56
8,Pkp3,0.0,Lum,0.0,Plvap,9.94122636196125e-76,Stab1,1.0005948455143892e-14,Myh11,7.903884522989428e-33,Mal,6.131537232708367e-45,Trdv4,4.082683353252677e-45,Hcar2,2.896854837567222e-60,Cybb,2.0468947487027885e-44,Stab1,3.5034944713569583e-06,Gngt2,6.354530334949497e-54
9,Calm4,0.0,Ccdc80,0.0,Gimap6,1.7644597064127902e-74,Lyve1,1.560611585138723e-14,Mustn1,1.7032195434762433e-31,Gatm,7.087853909414204e-44,Trbc1,1.1761832037201867e-44,Csta3,7.961586229213853e-60,Wfdc17,2.2516574272149753e-42,Fxyd2,6.288271318936333e-06,Pkib,4.803503221426328e-53
10,Dsc3,0.0,Pcolce,0.0,Cd93,2.965065897978912e-68,Reln,4.366204723535654e-14,Apold1,1.790578226608687e-31,Mbp,7.089440691814489e-43,Klrk1,1.3500051982564803e-43,Stfa3,1.1339505971766783e-55,Fcgr2b,2.7704471284403307e-41,Pld4,8.56056183974562e-06,Nr4a3,1.5949205094529672e-50
